Appl_Type,Appl_No,Product_No,Exclusivity_Code,Exclusivity_Date
N,201292,1,M-276,7-Apr-25
N,201292,3,ODE-230,12-Jan-25
N,201292,3,M-276,7-Apr-25
N,203496,1,ODE-272,18-Oct-26
N,203496,4,ODE-272,18-Oct-26
N,203496,2,ODE-272,18-Oct-26
N,203496,3,ODE-272,18-Oct-26
N,203496,5,ODE-272,18-Oct-26
N,204168,1,M-304,24-Mar-26
N,204168,3,M-304,24-Mar-26
N,204168,4,M-304,24-Mar-26
N,204168,2,M-304,24-Mar-26
N,205596,1,ODE-355,17-Jun-28
N,205437,1,ODE-248,19-Jul-26
N,205437,1,NPP,25-Apr-27
N,205437,1,M-299,20-Jul-26
N,205437,2,ODE-248,19-Jul-26
N,205437,2,NPP,25-Apr-27
N,205437,2,M-299,20-Jul-26
N,205437,3,ODE-248,19-Jul-26
N,205437,3,NPP,25-Apr-27
N,205437,3,M-299,20-Jul-26
N,205109,1,NPP,1-Jul-27
N,205053,1,ODE-355,17-Jun-28
N,205552,1,ODE-152,2-Aug-24
N,205552,1,M-14,24-Aug-25
N,205552,1,ODE-405,24-Aug-29
N,205552,1,NPP,24-Aug-25
N,205552,2,M-14,24-Aug-25
N,205552,2,ODE-405,24-Aug-29
N,205552,2,NPP,24-Aug-25
N,205649,1,NPP,12-Jun-27
N,205649,2,NPP,12-Jun-27
N,205649,4,NPP,12-Jun-27
N,205649,3,NPP,12-Jun-27
N,205649,5,NPP,12-Jun-27
N,205677,1,ODE-330,1-Dec-27
N,202293,1,M-298,8-May-26
N,202293,1,NPP,12-Jun-27
N,202293,2,M-298,8-May-26
N,202293,2,NPP,12-Jun-27
N,205551,1,M-294,15-Jun-26
N,204629,2,NPP,20-Jun-26
N,204629,1,I-922,21-Sep-26
N,204629,1,NPP,20-Jun-26
N,204629,1,M-82,24-Feb-25
N,205625,3,M-290,1-Mar-26
N,202192,1,ODE-238,24-May-26
N,202192,1,I-872,22-Sep-24
N,202192,1,M-285,19-Dec-25
N,202192,1,ODE-373,22-Sep-28
N,202192,2,ODE-238,24-May-26
N,202192,2,I-872,22-Sep-24
N,202192,2,M-285,19-Dec-25
N,202192,2,ODE-373,22-Sep-28
N,202192,3,ODE-238,24-May-26
N,202192,3,M-285,19-Dec-25
N,202192,3,ODE-373,22-Sep-28
N,202192,4,ODE-238,24-May-26
N,202192,4,M-285,19-Dec-25
N,202192,4,ODE-373,22-Sep-28
N,202192,5,ODE-238,24-May-26
N,202192,5,M-285,19-Dec-25
N,202192,5,ODE-373,22-Sep-28
N,202276,1,M-282,18-Oct-25
N,202276,2,M-282,18-Oct-25
N,202276,3,M-282,18-Oct-25
N,204096,3,ODE*,24-May-25
N,204096,1,ODE*,24-May-25
N,204096,2,ODE*,24-May-25
N,204508,1,NPP,24-Apr-27
N,205832,2,ODE-261,6-Sep-26
N,205832,1,ODE-261,6-Sep-26
N,206829,1,NPP,21-Apr-25
N,203255,3,ODE-268,29-Jun-25
N,203255,1,ODE-268,29-Jun-25
N,203255,2,ODE-268,29-Jun-25
N,203255,5,ODE-268,29-Jun-25
N,203255,4,ODE-268,29-Jun-25
N,204447,2,M-232,23-Aug-26
N,204447,1,M-232,23-Aug-26
N,204447,3,M-232,23-Aug-26
N,204447,4,M-232,23-Aug-26
N,205739,3,NPP,2-Oct-26
N,205739,2,NPP,2-Oct-26
N,205739,1,NPP,2-Oct-26
N,205739,4,NS,2-Oct-26
N,207793,1,ODE-463,13-Feb-31
N,207793,1,I-932,13-Feb-27
N,209115,1,ODE-168,6-Apr-25
N,209115,2,ODE-168,6-Apr-25
N,209115,3,ODE-168,6-Apr-25
N,207695,1,D-191,3-Apr-26
N,208610,1,NCE,19-Jun-22
N,210491,1,ODE-173,12-Feb-25
N,210491,1,ODE-247,21-Jun-26
N,210491,1,ODE-335,21-Dec-27
N,210491,2,ODE-247,21-Jun-26
N,210491,2,ODE-173,12-Feb-25
N,210491,2,ODE-335,21-Dec-27
N,210251,1,ODE-256,18-Jun-26
N,210251,1,M-305,24-Apr-27
N,210251,1,I-942,23-Feb-27
N,210251,1,ODE-468,23-Feb-31
N,210251,2,ODE-378,7-Oct-28
N,210251,2,I-942,23-Feb-27
N,210251,2,ODE-468,23-Feb-31
N,210867,1,ODE-193,13-Jun-25
N,210498,1,ODE-194,27-Jun-25
N,210498,1,I-928,11-Oct-26
N,210496,1,ODE-194,27-Jun-25
N,210496,1,I-928,11-Oct-26
N,210496,1,ODE-445,11-Oct-30
N,210496,2,ODE-194,27-Jun-25
N,210496,2,I-928,11-Oct-26
N,210496,2,ODE-445,11-Oct-30
N,206111,1,NPP,20-Jun-26
N,206111,2,NPP,20-Jun-26
N,206111,3,NPP,20-Jun-26
N,206111,4,NPP,20-Jun-26
N,207027,1,ODE*,16-Nov-25
N,207027,2,ODE*,16-Nov-25
N,209637,3,D-185,28-Mar-25
N,209607,1,ODE-204,30-Jul-25
N,210589,1,ODE-202,27-Jul-25
N,210589,2,ODE-202,27-Jul-25
N,211358,1,ODE-195,7-Aug-25
N,211358,1,NPP,2-Sep-25
N,211358,1,ODE-408,2-Sep-29
N,211358,1,M-14,13-Dec-27
N,211358,2,ODE-195,7-Aug-25
N,211358,2,NPP,2-Sep-25
N,211358,2,ODE-408,2-Sep-29
N,211358,2,M-14,13-Dec-27
N,211358,3,NS,2-Sep-25
N,211358,3,ODE-408,2-Sep-29
N,211358,3,M-14,13-Dec-27
N,208288,1,M-292,20-Jan-26
N,208065,1,ODE-176,18-Apr-25
N,208065,1,ODE-337,18-Dec-27
N,208065,1,I-941,16-Feb-27
N,208065,1,I-952,25-Sep-27
N,208065,2,ODE-176,18-Apr-25
N,208065,2,ODE-337,18-Dec-27
N,208065,2,I-941,16-Feb-27
N,208065,2,I-952,25-Sep-27
N,207501,1,ODE-90,6-Mar-22
N,207501,1,NCE,6-Mar-20
N,207501,1,ODE-305,6-Mar-22
N,207501,1,ODE-453,8-Dec-30
N,207501,1,NPP,8-Dec-26
N,207501,1,ODE-459,8-Dec-30
N,207500,1,ODE-90,6-Mar-22
N,207500,1,NCE,6-Mar-20
N,207500,1,ODE-305,6-Mar-22
N,207500,1,ODE-458,8-Dec-30
N,207500,1,NPP,8-Dec-26
N,207500,1,ODE-454,8-Dec-30
N,207500,2,ODE-458,8-Dec-30
N,207500,2,NCE,6-Mar-20
N,207500,2,NPP,8-Dec-26
N,207500,2,ODE*,6-Mar-22
N,207500,2,ODE-454,8-Dec-30
N,204370,4,I-904,16-Dec-25
N,204370,3,I-904,16-Dec-25
N,204370,2,I-904,16-Dec-25
N,204370,1,I-904,16-Dec-25
N,22225,2,NPP,12-Dec-27
N,22225,1,NPP,12-Dec-27
N,208434,1,I-947,18-Apr-27
N,208434,1,ODE-477,18-Apr-31
N,209776,1,NCE,29-Aug-22
N,209401,1,ODE-350,30-Mar-28
N,209394,1,ODE-232,30-Apr-26
N,209394,1,ODE-233,30-Apr-26
N,209394,1,ODE-372,10-Jun-28
N,208558,1,ODE-226,19-Dec-25
N,208558,1,ODE-283,27-Dec-26
N,208558,1,ODE-306,8-May-27
N,208558,1,I-914,31-May-26
N,208558,1,I-885,11-Mar-25
N,208558,2,ODE-226,19-Dec-25
N,208558,2,ODE-283,27-Dec-26
N,208558,2,ODE-306,8-May-27
N,208558,2,I-914,31-May-26
N,208558,2,I-885,11-Mar-25
N,206192,1,I-902,28-Oct-25
N,206192,1,M-278,28-Jul-25
N,206192,1,ODE-416,28-Oct-29
N,208573,3,ODE-185,8-Jun-25
N,208573,3,ODE-211,21-Nov-25
N,208573,3,ODE-239,15-May-26
N,208573,1,ODE-185,8-Jun-25
N,208573,1,ODE-211,21-Nov-25
N,208573,1,ODE-239,15-May-26
N,208573,2,ODE-185,8-Jun-25
N,208573,2,ODE-211,21-Nov-25
N,208573,2,ODE-239,15-May-26
N,205879,1,NPP,18-Dec-27
N,205879,3,NPP,18-Dec-27
N,205879,4,NPP,18-Dec-27
N,205879,2,NPP,18-Dec-27
N,206316,2,M-14,18-Oct-26
N,206316,3,M-14,18-Oct-26
N,206316,1,M-14,18-Oct-26
N,208447,1,ODE-277,23-Oct-26
N,208447,1,ODE-295,29-Apr-27
N,208743,1,I-907,19-Dec-25
N,208772,3,ODE-300,22-May-27
N,208772,1,ODE-300,22-May-27
N,208772,2,ODE-300,22-May-27
N,209022,1,I-940,15-Mar-27
N,209363,1,NCE,15-Sep-22
N,209363,1,NPP,26-Jan-25
N,210259,1,ODE-274,21-Nov-26
N,209939,1,D-189,2-Aug-26
N,209939,1,ODE-423,5-Jun-30
N,209939,1,ODE-495,30-Aug-31
N,209939,1,I-916,5-Jun-26
N,209939,1,ODE-497,30-Aug-31
N,209939,1,NPP,30-Aug-27
N,209939,2,D-189,2-Aug-26
N,209939,2,ODE-423,5-Jun-30
N,209939,2,ODE-495,30-Aug-31
N,209939,2,I-916,5-Jun-26
N,209939,2,ODE-497,30-Aug-31
N,209939,2,NPP,30-Aug-27
N,209940,1,D-189,2-Aug-26
N,209940,1,ODE-423,5-Jun-30
N,209940,1,ODE-495,30-Aug-31
N,209940,1,I-916,5-Jun-26
N,209940,1,ODE-497,30-Aug-31
N,209940,1,NPP,30-Aug-27
N,209940,2,D-189,2-Aug-26
N,209940,2,ODE-423,5-Jun-30
N,209940,2,ODE-495,30-Aug-31
N,209940,2,I-916,5-Jun-26
N,209940,2,ODE-497,30-Aug-31
N,209940,2,NPP,30-Aug-27
N,210115,1,ODE-269,24-May-25
N,210115,1,ODE-360,16-Jul-28
N,210115,2,ODE-269,24-May-25
N,210115,2,ODE-360,16-Jul-28
N,208081,1,D-194,4-Oct-27
N,207356,1,ODE-214,28-Sep-25
N,208700,1,ODE-166,26-Jan-25
N,208700,1,NPP,23-Apr-27
N,208700,1,ODE-479,23-Apr-31
N,210563,4,M-14,24-Aug-25
N,210563,4,ODE-405,24-Aug-29
N,210563,4,NPP,24-Aug-25
N,210563,3,M-14,24-Aug-25
N,210563,3,ODE-405,24-Aug-29
N,210563,3,NPP,24-Aug-25
N,210563,2,M-14,24-Aug-25
N,210563,2,ODE-405,24-Aug-29
N,210563,2,NPP,24-Aug-25
N,210563,1,M-14,24-Aug-25
N,210563,1,ODE-405,24-Aug-29
N,210563,1,NPP,24-Aug-25
N,208799,1,M-61,9-Jul-24
N,208799,4,M-61,9-Jul-24
N,208798,1,NPP,9-Jul-24
N,208798,7,NS,9-Jul-24
N,208798,4,NPP,9-Jul-24
A,208328,2,PC,15-Jul-25
A,208328,1,PC,15-Jul-25
N,208611,1,NCE,19-Jun-22
N,207987,1,ODE-192,21-Jun-25
N,207987,2,ODE-192,21-Jun-25
N,206709,2,ODE-198,20-Aug-25
N,206709,2,ODE-403,14-Jul-29
N,206709,2,M-281,14-Jul-25
N,206709,1,ODE-198,20-Aug-25
N,206709,1,ODE-403,14-Jul-29
N,206709,1,M-281,14-Jul-25
N,207223,1,ODE-198,20-Aug-25
N,207223,1,ODE-403,14-Jul-29
N,207223,1,NPP,14-Jul-25
N,207223,2,ODE-198,20-Aug-25
N,207223,2,ODE-403,14-Jul-29
N,207223,2,NPP,14-Jul-25
N,211109,1,NCE,27-Aug-23
N,211109,2,NCE,27-Aug-23
N,210807,1,NPP,27-Jan-25
N,210806,1,NPP,27-Jan-25
N,209816,1,NCE,2-Oct-23
N,209817,1,NCE,2-Oct-23
N,211172,1,ODE-212,5-Oct-25
N,211651,1,I-920,20-Jun-26
N,211651,3,I-920,20-Jun-26
N,211651,5,I-920,20-Jun-26
N,208692,3,ODE-227,14-Jan-26
N,208692,3,ODE-375,17-Sep-28
N,208692,2,ODE-227,14-Jan-26
N,208692,2,ODE-375,17-Sep-28
N,208692,1,ODE-227,14-Jan-26
N,208692,1,ODE-375,17-Sep-28
N,207648,4,NPP,22-Mar-25
N,207648,2,NPP,22-Mar-25
N,207648,3,NPP,22-Mar-25
N,207648,1,NPP,22-Mar-25
N,204441,3,ODE-178,23-Apr-25
N,204441,2,ODE-178,23-Apr-25
N,204441,1,ODE-178,23-Apr-25
N,204441,5,ODE-178,23-Apr-25
N,204441,4,ODE-178,23-Apr-25
N,210238,1,ODE-246,26-Jun-26
N,208627,1,ODE-200,13-Jul-25
N,211192,1,ODE-203,20-Jul-25
N,211192,1,ODE-242,2-May-26
N,211192,1,I-924,24-Oct-26
N,211192,1,ODE-368,25-Aug-28
N,211192,1,ODE-447,24-Oct-30
N,211192,1,I-893,25-May-25
N,210795,1,ODE-201,20-Jul-25
N,211288,2,ODE-206,27-Sep-25
N,211288,2,ODE-213,27-Sep-25
N,211288,1,ODE-206,27-Sep-25
N,211288,1,ODE-213,27-Sep-25
N,211288,3,ODE-206,27-Sep-25
N,211288,3,ODE-213,27-Sep-25
N,208030,1,ODE-417,30-Apr-28
N,208030,1,ODE-419,30-Apr-28
N,208030,1,ODE-418,30-Apr-28
N,208030,2,ODE-418,30-Apr-28
N,208030,2,ODE-417,30-Apr-28
N,208030,2,ODE-419,30-Apr-28
N,207981,2,ODE-229,22-Feb-26
N,207981,1,ODE-229,22-Feb-26
N,208684,2,ODE-252,7-Jun-26
N,208684,1,ODE-252,7-Jun-26
N,208684,4,ODE-252,7-Jun-26
N,208684,3,ODE-252,7-Jun-26
N,208685,1,ODE-252,7-Jun-26
N,208464,1,NPP,17-Oct-25
N,209092,1,I-950,17-Sep-27
N,209210,1,NPP,22-Jul-24
N,205422,4,M-14,8-May-27
N,205422,4,I-913,10-May-26
N,205422,1,M-14,8-May-27
N,205422,1,I-913,10-May-26
N,205422,6,M-14,8-May-27
N,205422,6,I-913,10-May-26
N,205422,5,M-14,8-May-27
N,205422,5,I-913,10-May-26
N,205422,3,M-14,8-May-27
N,205422,3,I-913,10-May-26
N,205422,2,M-14,8-May-27
N,205422,2,I-913,10-May-26
N,208215,2,ODE-457,7-Jan-29
N,204630,1,M-303,8-Jan-27
N,204630,2,M-303,8-Jan-27
N,208026,1,M-295,20-Jun-26
N,208026,2,M-295,20-Jun-26
A,202103,4,PC,2-Mar-25
A,202103,3,PC,2-Mar-25
A,202103,1,PC,2-Mar-25
A,202103,2,PC,2-Mar-25
N,207924,1,I-890,13-Jun-25
N,207924,1,I-891,10-May-25
N,207924,3,I-890,13-Jun-25
N,207924,3,I-891,10-May-25
N,207924,2,I-890,13-Jun-25
N,207924,2,I-891,10-May-25
N,206947,1,ODE-196,15-Aug-25
N,206947,1,M-14,3-Apr-27
N,206947,2,ODE-196,15-Aug-25
N,206947,2,M-14,3-Apr-27
N,206229,1,I-917,29-Jun-26
N,206494,1,NCE,25-Feb-20
N,206494,1,NPP,26-Jan-27
N,206494,1,NPP,20-Dec-25
N,207925,2,ODE-199,15-Aug-25
N,207925,2,ODE-236,29-Apr-26
N,207925,2,ODE-338,21-Dec-27
N,207925,2,ODE-435,3-May-30
N,207925,1,ODE-199,15-Aug-25
N,207925,1,ODE-236,29-Apr-26
N,207925,1,ODE-338,21-Dec-27
N,207925,1,ODE-435,3-May-30
N,207925,3,ODE-236,29-Apr-26
N,207925,3,ODE-199,15-Aug-25
N,207925,3,ODE-338,21-Dec-27
N,207925,3,ODE-435,3-May-30
N,207925,4,ODE-435,3-May-30
N,207925,4,NPP,3-May-26
N,207925,5,ODE-435,3-May-30
N,207925,5,NPP,3-May-26
N,208341,1,ODE-293,19-Mar-27
N,208341,1,ODE-376,10-Jun-28
N,208341,1,M-277,27-Apr-25
N,208341,2,ODE-293,19-Mar-27
N,208341,2,ODE-376,10-Jun-28
N,208341,2,M-277,27-Apr-25
N,209935,1,I-951,17-Sep-27
N,209299,1,ODE-174,17-Apr-25
N,209299,2,ODE-174,17-Apr-25
N,209566,1,ODE-207,14-Sep-25
N,211155,2,ODE-208,24-Sep-25
N,211155,1,ODE-208,24-Sep-25
N,210868,2,ODE-218,2-Nov-25
N,210868,2,ODE-219,2-Nov-25
N,210868,2,ODE-217,2-Nov-25
N,210868,2,ODE-349,3-Mar-28
N,210868,1,ODE-218,2-Nov-25
N,210868,1,ODE-217,2-Nov-25
N,210868,1,ODE-219,2-Nov-25
N,210868,1,ODE-349,3-Mar-28
N,210365,1,ODE-216,28-Sep-25
N,210365,1,ODE-332,31-Jul-27
N,210365,1,ODE-326,31-Jul-27
N,210365,1,M-270,20-Oct-26
N,210303,1,NCE,25-Jun-23
N,208623,1,ODE-205,10-Aug-25
N,210922,1,ODE-197,10-Aug-25
N,210922,1,M-270,13-Jan-26
N,208658,2,M-296,20-Jun-26
N,208658,1,M-296,20-Jun-26
N,208658,4,M-296,20-Jun-26
N,208658,3,M-296,20-Jun-26
N,209241,2,ODE-440,18-Aug-30
N,209241,2,I-925,18-Aug-26
N,209241,1,ODE-440,18-Aug-30
N,209241,1,I-925,18-Aug-26
N,209241,3,ODE-440,18-Aug-30
N,209241,3,I-925,18-Aug-26
N,212306,4,ODE*,3-Jul-26
N,212306,4,ODE*,18-Dec-27
N,212306,4,ODE*,22-Jun-27
N,212306,3,ODE*,18-Dec-27
N,212306,3,ODE*,3-Jul-26
N,212306,3,ODE*,22-Jun-27
N,212306,2,ODE*,22-Jun-27
N,212306,2,ODE*,18-Dec-27
N,212306,2,ODE*,3-Jul-26
N,212306,1,ODE-257,3-Jul-26
N,212306,1,ODE-310,22-Jun-27
N,212306,1,ODE-346,18-Dec-27
N,212480,2,ODE-258,28-Aug-26
N,212480,1,ODE-258,28-Aug-26
N,215430,1,NP,18-Aug-25
N,216675,1,NCE,18-May-28
N,211723,1,NCE,23-Jan-25
N,211723,1,ODE-314,18-Jun-27
N,211723,1,ODE-299,23-Jan-27
N,213687,1,ODE-311,30-Jun-27
N,213687,1,NCE,30-Jun-25
N,212950,1,NCE,2-Jul-25
N,218709,1,ODE-480,26-Apr-31
N,218709,1,NCE,26-Apr-29
N,218347,1,ODE-481,26-Apr-31
N,218347,1,NP,26-Apr-27
N,210656,1,ODE-224,21-Nov-25
N,210656,2,ODE-224,21-Nov-25
N,211580,1,I-911,5-Jun-26
N,210910,1,NCE,16-Nov-23
N,215152,1,NCE,3-May-27
N,215153,1,NCE,3-May-27
N,215272,1,I-956,12-Dec-27
N,215272,1,NCE,23-May-27
N,217581,1,I-897,14-Jul-25
N,217581,2,I-897,14-Jul-25
N,217581,3,I-897,14-Jul-25
N,213976,1,ODE-466,9-Feb-31
N,213976,1,NP,9-Feb-27
N,217700,1,ODE-478,23-Apr-31
N,217700,1,NCE,23-Apr-29
N,218033,1,ODE-478,23-Apr-31
N,218033,1,NCE,23-Apr-29
N,218623,5,ODE-501,26-Apr-31
N,218623,5,NP,26-Apr-27
N,218623,3,ODE-501,26-Apr-31
N,218623,3,NP,26-Apr-27
N,218623,2,ODE-501,26-Apr-31
N,218623,2,NP,26-Apr-27
N,218623,4,ODE-501,26-Apr-31
N,218623,4,NP,26-Apr-27
N,218623,1,ODE-501,26-Apr-31
N,218623,1,NP,26-Apr-27
N,210861,2,ODE-215,26-Nov-25
N,210861,2,ODE-220,26-Nov-25
N,210861,2,ODE-221,26-Nov-25
N,210861,1,ODE-221,26-Nov-25
N,210861,1,ODE-215,26-Nov-25
