Brnd_Name,Gnrc_Name,Tot_Mftr,Tot_Spndng_2018,Tot_Dsg_Unts_2018,Tot_Clms_2018,Tot_Benes_2018,Avg_Spnd_Per_Dsg_Unt_Wghtd_2018,Avg_Spnd_Per_Clm_2018,Avg_Spnd_Per_Bene_2018,Outlier_Flag_2018,Tot_Spndng_2019,Tot_Dsg_Unts_2019,Tot_Clms_2019,Tot_Benes_2019,Avg_Spnd_Per_Dsg_Unt_Wghtd_2019,Avg_Spnd_Per_Clm_2019,Avg_Spnd_Per_Bene_2019,Outlier_Flag_2019,Tot_Spndng_2020,Tot_Dsg_Unts_2020,Tot_Clms_2020,Tot_Benes_2020,Avg_Spnd_Per_Dsg_Unt_Wghtd_2020,Avg_Spnd_Per_Clm_2020,Avg_Spnd_Per_Bene_2020,Outlier_Flag_2020,Tot_Spndng_2021,Tot_Dsg_Unts_2021,Tot_Clms_2021,Tot_Benes_2021,Avg_Spnd_Per_Dsg_Unt_Wghtd_2021,Avg_Spnd_Per_Clm_2021,Avg_Spnd_Per_Bene_2021,Outlier_Flag_2021,Tot_Spndng_2022,Tot_Dsg_Unts_2022,Tot_Clms_2022,Tot_Benes_2022,Avg_Spnd_Per_Dsg_Unt_Wghtd_2022,Avg_Spnd_Per_Clm_2022,Avg_Spnd_Per_Bene_2022,Outlier_Flag_2022,Chg_Avg_Spnd_Per_Dsg_Unt_21_22,CAGR_Avg_Spnd_Per_Dsg_Unt_18_22
Abraxane,Paclitaxel Protein-Bound,1,5675297.99,4441,828,236,1277.932445,6854.224626,24047.87284,0,8803136.55,6318,1190,333,1393.342284,7397.59374,26435.8455,0,9792937.31,6620,1286,319,1479.295666,7615.036789,30698.86304,0,9534884.71,6081,1200,307,1567.979725,7945.737258,31058.25638,0,6230057.81,3744,810,220,1664.011167,7691.429395,28318.44459,0,0.061245334,0.068223395
Absorica,Isotretinoin,1,317230.79,8970,180,78,35.32328921,1762.393278,4067.06141,0,256597.51,6840,150,47,37.43501933,1710.650067,5459.521489,0,235353.71,6180,126,52,37.94486914,1867.886587,4526.032885,0,163699.34,4090,88,35,39.69015466,1860.219773,4677.124,0,93008.56,2250,51,24,41.15128458,1823.697255,3875.356667,0,0.03681341,0.038916311
Absorica Ld,"Isotretinoin, Micronized",1,,,,,,,,,,,,,,,,,25585.7,690,15,,37.42603165,1705.713333,,1,81264.22,2130,31,11,38.27806774,2621.426452,7387.656364,1,24902.87,630,15,,39.48683704,1660.191333,,1,0.031578639,0.027162802
Acamprosate Calcium,Acamprosate Calcium,6,5272879.18,5536265,34628,10706,0.952239019,152.272126,492.5162694,0,6133862.01,6113938,37124,11649,1.003493418,165.2263229,526.5569585,0,6475928.88,6671390,40041,11880,0.970935044,161.7324462,545.1118586,0,7045996.74,7253219,43349,13110,0.970959085,162.5411599,537.4520778,0,7435039.55,7604129,45173,13739,0.97663987,164.5903427,541.1630796,0,0.005850695,0.006345524
Acanya,Clindamycin Phos/Benzoyl Perox,1,146741.77,13850,254,143,10.59507365,577.7235039,1026.166224,0,60935.72,5750,107,56,10.59751652,569.4927103,1088.137857,0,33711.89,3150,60,15,10.7021873,561.8648333,2247.459333,0,15964.61,1450,29,,11.01007586,550.5037931,,1,9928.83,900,18,,11.03203333,551.6016667,,1,0.001994307,0.010154718
Acarbose,Acarbose,4,7782118.77,22122226,157399,42897,0.351395787,49.44198356,181.4140562,0,8782064.06,25533931,173977,44062,0.3438657,50.47830495,199.311517,0,10722866.7,28611239.99,185085,43961,0.374976889,57.93482292,243.9177157,0,10728639.22,28967751.5,180238,44200,0.370811455,59.52484615,242.7293941,0,10098039.82,28434387,174307,43168,0.356964783,57.93249738,233.9241989,0,-0.037341542,0.003938722
Accolate,Zafirlukast,1,335122.21,89645,951,166,3.738054399,352.389285,2018.808494,0,267173.42,70926,731,141,3.766543184,365.4903146,1894.84695,0,241732.21,64927,635,121,3.723138448,380.6806457,1997.78686,0,217404.57,57295,521,103,3.794640321,417.2832438,2110.723981,0,149766.1,40235,358,91,3.723864712,418.3410615,1645.781319,0,-0.018651467,-0.000950356
Accupril,Quinapril HCl,1,2823256.85,609380,7383,1640,4.633250924,382.3996817,1721.498079,0,2657878.87,575596,6757,1518,4.617106115,393.3519121,1750.908347,0,2298518.54,500787,5639,1311,4.590090815,407.6110197,1753.255942,0,1802400.49,386511,4302,1045,4.665906587,418.9680358,1724.785158,0,320682.07,67553,819,500,4.755617946,391.553199,641.36414,0,0.019226994,0.006538252
Accuretic,Quinapril/Hydrochlorothiazide,1,354071.71,80439,932,229,4.402074636,379.9052682,1546.164673,0,311595.63,70847,776,211,4.397698703,401.5407603,1476.75654,0,256406.1,59908,643,169,4.282600166,398.7653188,1517.195858,0,162706.28,37158,389,119,4.375711255,418.268072,1367.279664,0,15221.02,3690,43,36,4.155856033,353.9772093,422.8061111,1,-0.050244454,-0.014286344
Accutane,Isotretinoin,1,,,,,,,,,,,,,,,,,,,,,,,,,21588.69,6010,127,59,3.561441007,169.989685,365.91,0,52272.27,14470,309,121,3.612391402,169.1659223,432.0022314,0,0.014306118,0.014306118
Acebutolol HCl,Acebutolol HCl,3,2081450.61,6052585,63359,21865,0.344482796,32.85169605,95.19554585,0,4386157.9,9371270,91112,21226,0.46842526,48.14028778,206.6408132,0,5556127.04,9727562,90017,20614,0.571921523,61.72308608,269.531728,0,5108653.31,9595214,86113,20157,0.53371766,59.32499518,253.4431369,0,5166792.77,9087748,80943,19222,0.569835546,63.83248422,268.7957949,0,0.067672272,0.134084722
Acetamin-Caff-Dihydrocodeine,Acetaminophen/Caff/Dihydrocod,1,507947.64,203714,2277,1070,2.49343511,223.0775758,474.7174206,0,581219.08,221226,2783,1205,2.627263884,208.8462379,482.3394855,0,562256.15,203536,2547,957,2.762440797,220.7523165,587.519488,0,554132.58,196648,2524,797,2.817890749,219.5453962,695.2729988,0,327966.86,117696,1581,416,2.786559101,207.4426692,788.381875,0,-0.01111883,0.028176201
Acetaminophen,Acetaminophen,3,,,,,,,,,,,,,,,,,,,,,,,,,35876.64,138701,120,82,0.295148973,298.972,437.52,0,59927.65,230800,138,75,0.252939109,434.2583333,799.0353333,0,-0.143012065,-0.143012065
Acetaminophen-Codeine,Acetaminophen With Codeine,9,38181534.34,184505081.3,3347574,1535095,0.209664915,11.40573273,24.8724244,0,35248234.01,162201021,3199855,1417793,0.216341942,11.01557227,24.86134013,0,38098067.57,152159022.9,2973452,1260147,0.246720709,12.81274006,30.23303438,0,40726751.97,138927281.9,2763688,1210143,0.285926023,14.73637834,33.65449535,0,38694675.29,129405129.8,2604234,1146260,0.290789701,14.85837113,33.75732843,0,0.017010268,0.085208819
Acetazolamide,Acetazolamide,13,25178838.74,14881544.09,233605,86441,1.679345687,107.7838177,291.2835199,0,24060032.03,15097685.25,230972,88880,1.580654775,104.1686093,270.7024306,0,22200009.38,14763958,200885,66492,1.500505401,110.5110356,333.8748929,0,16599672.83,15103603.33,208405,76184,1.094691505,79.65102963,217.8892265,0,15734887.6,15690541.24,215885,86171,1.0030914,72.88550664,182.6007311,0,-0.083676638,-0.120876072
Acetazolamide ER,Acetazolamide,7,9373543.55,4699925.232,82398,34240,1.994488557,113.7593576,273.7600336,0,8965308.25,5012496,83564,34378,1.791010532,107.2867293,260.7862078,0,8532895.66,5266670.286,78686,28814,1.619160312,108.4423615,296.1371438,0,7358500.8,5449502,81962,32774,1.357154745,89.77941973,224.5225118,0,7706860.68,5577598,79286,32336,1.384267554,97.20329793,238.3368592,0,0.019977684,-0.087259918
Acetic Acid*,Acetic Acid,7,1505691.5,48935842.17,71448,39139,0.921214062,21.07394889,38.47036204,0,1384295.19,49607287.47,67471,35588,0.828230812,20.51689155,38.89780797,0,1265933.7,39158450,59519,34058,0.965747589,21.26940473,37.16993658,0,1249347.72,33090613.29,58550,36607,1.07588427,21.33813356,34.12865627,0,1314179.9,40052522.99,63159,38728,1.002010116,20.80748429,33.93358552,0,-0.068663662,0.021240164
Acetylcysteine*,Acetylcysteine,7,2092216.58,1994987,24093,6766,1.031788644,86.83918898,309.225034,0,1981662.68,2369608,28050,7361,0.830062953,70.64751087,269.2110692,0,1746725.77,1956389.28,20886,5149,0.878021429,83.63141674,339.2359235,0,1595936.67,1611947.639,16659,4039,0.943172917,95.80026832,395.1316341,0,1823301.43,1650286.236,17333,4323,1.06250014,105.1924901,421.767622,0,0.126516804,0.007359678
Aciphex,Rabeprazole Sodium,2,22178234.16,1299928,18579,3781,17.06112505,1193.725936,5865.70594,0,19678260.33,1153216,15888,3324,17.0638114,1238.561199,5920.054251,0,18095334.51,1065105,13926,2940,16.98924943,1299.392109,6154.875684,0,16176125.3,906690,11451,2504,17.84085553,1412.63866,6460.113938,0,15875562.32,781493,9439,2140,20.26880433,1681.911465,7418.487065,0,0.136089259,0.0440111
Acitretin,Acitretin,6,24971062.75,1497337,40682,8659,16.795092,613.8110897,2883.827549,0,23606030.79,1600707.43,45280,9054,14.80099169,521.3346023,2607.248817,0,23573809.61,1678163.519,43893,9153,14.09513163,537.0744677,2575.5282,0,21444442.22,1678450.341,41816,9238,12.82872279,512.8286355,2321.329532,0,20934136.88,1658303,40529,9068,12.70699212,516.5224131,2308.57266,0,-0.009488916,-0.067357734
Actemra Actpen,Tocilizumab,1,,,,,,,,,17195137.67,14862.3,4465,1177,1156.963436,3851.094663,14609.29284,0,56276920.52,47067.5,14203,2740,1195.664111,3962.326306,20539.02209,0,93002648.89,74932.9,24049,4442,1241.14573,3867.214807,20937.11141,0,126483516.6,101561.3,32706,5485,1245.390879,3867.287857,23059.89364,0,0.003420346,0.024854036
Actemra*,Tocilizumab,1,130523440.2,185715.59,36098,5786,1015.824693,3615.808083,22558.49295,0,132676233.6,198566.9,35738,5446,1017.941604,3712.469462,24362.14352,0,127856836.2,191010.1,32917,4668,1050.279983,3884.218981,27390.06773,0,123904981.2,186777.1,32334,5123,1095.350644,3832.033809,24186.02014,0,127758478.6,212640.35,33653,4885,1069.340573,3796.347386,26153.21977,0,-0.023745886,0.012918072
Acthar,Corticotropin,1,724638118.9,90830,11907,2475,7977.960134,60858.16066,292783.0784,0,668892380.3,82995,10968,2102,8059.429848,60985.81147,318217.1172,0,621884161.4,74430,9857,1668,8355.289016,63090.61189,372832.2311,0,431097613.9,50945,6667,1158,8462.020098,64661.40901,372277.7322,0,400387038.5,45155,5913,1007,8866.948035,67713.01176,397603.8119,0,0.047852396,0.026763863
Acthib,Haemoph B Poly Conj-Tet Tox/PF,1,27574.35,815.9,786,704,33.79623728,35.08187023,39.1681108,1,44034.23,1129,1132,949,39.00286094,38.89949647,46.40066386,1,44405.72,1147.6,1151,953,38.69442314,38.58012163,46.59571878,1,49583.46,1413,1418,1124,35.09091295,34.96717913,44.11339858,0,60611.51,1734.5,1734,1378,34.9446584,34.95473472,43.98513062,0,-0.004167875,0.008389029
Actimmune,"Interferon Gamma-1b,Recomb.",1,18992801.81,2118,337,53,8967.328522,56358.46234,358354.7511,0,20879139.7,2226.5,381,47,9377.56106,54800.8916,444237.0149,0,23353184.89,2547,417,51,9168.898661,56002.84146,457905.5861,0,25309639.28,2444,423,50,10355.82622,59833.6626,506192.7856,0,27310873.39,2613.5,454,48,10449.92286,60156.10879,568976.529,0,0.009086348,0.038992711
Activella,Estradiol/Norethindrone Acet,1,,,,255,,,,,124105.3,12712,255,210,9.76284613,486.687451,590.9776191,0,135010.77,13692,274,78,9.86055872,492.7400365,1730.907308,0,135284.56,13916,300,57,9.721511929,450.9485333,2373.413333,0,141956.4,14560,293,63,9.749752747,484.4928328,2253.276191,0,0.002904982,-0.000447248
Actonel,Risedronate Sodium,1,3671232.33,36899,6597,1445,173.7016191,556.5002774,2540.645211,0,2907325.96,27665,4581,1064,180.1974409,634.6487579,2732.449211,0,2358868.74,20947,3568,809,177.2770247,661.1179204,2915.783362,0,1788277.96,15477,2562,624,176.3035436,698.000765,2865.830064,0,1460182.27,12468,2048,492,176.717329,712.979624,2967.850142,0,0.002347005,0.004312384
Actoplus Met,Pioglitazone HCl/Metformin HCl,1,461467.05,47787,556,113,9.656059647,829.9767086,4083.779204,0,374075.5,38502,433,91,9.714504613,863.9157044,4110.71978,0,312105.56,32169,364,75,9.702088547,857.4328571,4161.407467,0,203503.89,20419,246,51,9.967034003,827.2515854,3990.272353,0,140808.93,13698,169,33,10.27867151,833.1889349,4266.937273,0,0.031266825,0.015743991
Actos,Pioglitazone HCl,1,2784260.16,159372,2982,632,17.42415825,933.6888531,4405.474937,0,2293887.44,132352,2461,546,17.30214151,932.0956684,4201.259048,0,2092475.64,120551,2035,481,17.34903865,1028.243558,4350.261206,0,1749928.48,98359,1619,378,17.84428421,1080.869969,4629.440423,0,1353112.4,75582,1201,302,18.07263853,1126.654788,4480.504636,0,0.012797057,0.009177221
Acular,Ketorolac Tromethamine,1,89458.99,2401,383,216,37.25905456,233.5743864,414.1619907,0,73030.12,1865,297,177,39.15824129,245.8926599,412.599548,0,92184.89,2245,353,214,41.0623118,261.1469972,430.770514,0,64615.68,1325,195,94,48.76655094,331.3624615,687.4008511,1,48975.95,1090,145,79,44.93206422,337.7651724,619.9487342,0,-0.078629443,0.047927253
Acular Ls,Ketorolac Tromethamine,1,55760.95,1170,183,87,47.65893162,304.7046448,640.9304598,1,42093.7,895,128,61,47.03206704,328.8570313,690.0606557,1,36788.28,750,124,67,49.05104,296.6796774,549.078806,1,22762.86,435,66,36,52.32841379,344.8918182,632.3016667,0,19001.64,340,52,33,55.88717647,365.4161539,575.8072727,0,0.068008228,0.040619516
Acuvail,Ketorolac Tromethamine/PF,1,350759.69,34304,774,343,10.22503761,453.1778941,1022.623003,0,292214.13,27503,587,274,10.62480929,497.8094208,1066.474927,0,215551.35,20437,392,172,10.54711308,549.8758929,1253.205523,0,221208.02,19678,381,166,11.24138734,580.5984777,1332.578434,0,145368.53,12620,264,121,11.51890095,550.6383712,1201.39281,0,0.024686776,0.030235552
Acyclovir Sodium,Acyclovir Sodium,2,77171.15,98255.5,340,111,0.809359573,226.9739706,695.2355856,0,62813.01,89428.8,299,112,0.707331506,210.0769565,560.8304464,0,53556.56,93773.76,252,126,0.589112411,212.5260318,425.0520635,0,36090.15,1081641.44,195,85,0.354666975,185.0776923,424.59,0,55628.09,70751.6,276,116,0.834085906,201.5510507,479.5525,0,1.351743927,0.00755165
Acyclovir*,Acyclovir,34,47901753.84,121554261.5,1794381,674884,0.71224155,26.69541967,70.9777589,0,57692803.04,129872947.7,1851986,688547,1.384643728,31.151857,83.78920109,0,58462575.08,139164612.4,1874373,669360,1.593248708,31.19047014,87.34100496,0,54648777.95,140048268.2,1827331,660087,1.330390222,29.90633769,82.79026545,0,52003828.08,144760686.5,1862131,663424,1.024699851,27.92705136,78.38701657,0,-0.229774968,0.095197243
Aczone,Dapsone,1,,,,1099,,,,,,,,921,,,,,136577.25,12060,190,307,11.32481343,718.8276316,444.8770358,0,200149.65,17730,239,166,11.28832011,837.4462343,1205.720783,0,154570.86,13140,178,98,11.7685316,868.375618,1577.253674,0,0.042540563,0.019402304
Adacel Tdap,"Diph,Pertuss(Acell),Tet Vac/PF",1,10979499.3,136138.246,191707,190954,80.80547293,57.27229209,57.49813725,0,11033494.81,119121.61,182346,181747,92.67117642,60.50856509,60.70798863,0,10274095.02,125262.552,171777,171363,82.36395309,59.81065579,59.9551538,0,10684013.34,135947.25,177914,177467,79.57798653,60.05156053,60.20281709,0,13686117.71,165416.1,221542,220919,83.70003396,61.77662795,61.9508404,0,0.05179884,0.008837494
Adakveo,Crizanlizumab-Tmca,1,,,,,,,,,,,,,,,,,5098450.99,20688,449,96,246.4448468,11355.1247,53108.86448,0,5852209.87,22770,510,97,257.0140479,11474.92131,60332.06052,0,6859657.71,26274.6,608,112,261.0756286,11282.33176,61246.94384,0,0.015802952,0.029255735
Adapalene,Adapalene,10,1222080.2,364294,7569,5094,3.353318209,161.4586075,239.9058108,0,1577582.71,516244,10033,5578,3.088410792,157.239381,282.8222858,0,1925448.03,606932,11325,5885,3.054519734,170.0174861,327.1789346,0,2542994.28,569023,11780,5495,3.498555592,215.8738778,462.7833085,0,4363057.03,419529,8476,4037,7.756492695,514.7542508,1080.767161,0,1.217055722,0.233240149
Adapalene-Benzoyl Peroxide,Adapalene/Benzoyl Peroxide,8,123672.95,27270,555,405,4.560650569,222.8341441,305.3653086,0,120228.92,52290,1072,693,2.301984143,112.1538433,173.4905051,0,122451.78,64365,1325,758,1.885078692,92.41643774,161.5458839,0,125163.45,61965,1305,737,2.003033914,95.91068966,169.8282904,0,354089.65,89505,1880,1003,3.874585001,188.3455585,353.0305583,0,0.934358163,-0.039937296
Adbry,Tralokinumab-Ldrm,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11498067.07,13138,3211,851,875.176364,3580.836833,13511.24215,0,,
Adcetris,Brentuximab Vedotin,1,,,,,,,,,,,,,,,,,1207675.99,140,44,11,8626.257071,27447.18159,109788.7264,0,2395839.26,250,84,18,9583.35704,28521.89595,133102.1811,0,3044765.13,295,94,24,10321.23773,32391.1184,126865.2138,0,0.076996055,0.093842246
Adcirca,Tadalafil,1,266213540.1,3897887.5,64456,8975,68.29687622,4130.15918,29661.67578,0,82750004.24,1182511,18904,2801,69.97821098,4377.380673,29543.02186,0,55942543.48,799333,12365,1609,69.98653062,4524.265546,34768.51677,0,43282513.46,613790,9421,1172,70.51681106,4594.258939,36930.47224,0,33526807.44,473836,7161,906,70.75614229,4681.861114,37005.30623,0,0.00339396,0.008883052
Adderall,Dextroamphetamine/Amphetamine,1,3853888.75,607546,8488,1551,6.342321173,454.0396737,2484.776757,0,4750438.52,676194,9563,1806,7.025185923,496.7519105,2630.364629,0,5298565.5,706339,10244,1609,7.502112864,517.2359918,3293.079863,0,5793971.05,710184,10667,1765,8.158396554,543.1678119,3282.703145,0,7120762.45,781357,12017,2201,9.112076187,592.5574145,3235.239641,0,0.116895474,0.094818879
Adderall XR,Dextroamphetamine/Amphetamine,1,8032117.17,1676353,34589,5952,4.845024559,232.2159406,1349.482051,0,9206505.22,1875994,40173,8087,4.965977138,229.1714639,1138.432697,0,9699463.14,1948540,40377,7503,5.040690075,240.2224816,1292.744654,0,8420164.32,1205985,26067,5321,6.983256922,323.020076,1582.440203,0,8822033.54,1248969,27260,6325,7.064036355,323.6255884,1394.787912,0,0.011567587,0.098852083
Adefovir Dipivoxil,Adefovir Dipivoxil,2,5325462.51,189521,5782,740,28.09959153,921.0415963,7196.57096,0,4756444.93,170441,5149,681,27.91376276,923.7609109,6984.500631,0,4062508.26,154570,4425,570,26.27062931,918.0809627,7127.207474,0,3683848.43,139317,3948,514,26.40670075,933.0923075,7167.020292,0,3378371.86,127661,3240,469,26.46212716,1042.707364,7203.351514,0,0.002098952,-0.014898033
Adempas,Riociguat,1,256166028.2,2292012,26246,3192,111.7659928,9760.193102,80252.51509,0,316869356.5,2679851,30605,3774,118.2404731,10353.51598,83961.14374,0,463152406.4,3661887.996,41615,4645,126.4811391,11129.45828,99709.88297,0,566502537.4,4182218,47886,5431,135.4587871,11830.233,104309.066,0,576981088,4025654,45851,5240,143.3274574,12583.82779,110110.8947,0,0.058089036,0.064155096
Adlarity,Donepezil HCl,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113185.36,954,212,139,118.6575674,533.8932076,814.2831655,0,,
Adlyxin,Lixisenatide,1,63298.03,636,70,26,99.67050173,904.2575714,2434.539615,0,60595.43,573,73,25,105.6536322,830.0743836,2423.8172,0,66455.6,606,71,24,109.6201794,935.9943662,2768.983333,0,107206.69,936,116,27,114.4864768,924.1956035,3970.618148,0,55722.61,486,68,23,114.7689886,819.4501471,2422.722174,0,0.002467644,0.035891996
Admelog,Insulin Lispro,1,403661.76,17019,1069,658,23.71830072,377.6068849,613.4677204,0,2076727.3,120033.714,9229,4566,17.30120006,225.02192,454.8242006,0,2461450.03,181351,16801,7099,13.57285061,146.5061621,346.7319383,0,2224714.69,161708.1,17009,7148,13.75759588,130.7963249,311.2359667,0,1595500.5,144614.428,14866,6048,11.0327892,107.3254742,263.8062996,0,-0.198058345,-0.174151399
Admelog Solostar,Insulin Lispro,1,1124957.97,36927,2995,1645,30.46437485,375.61201,683.8650274,0,5632924.42,1248401.999,20468,9303,4.512107818,275.2063914,605.4954767,0,5785747.56,339259,26851,12070,17.05407243,215.4760553,479.349425,0,6137620.19,352790,31839,14120,17.39737575,192.7705076,434.6756509,0,4563006.98,341889.93,31954,13463,13.34642111,142.799242,338.9294348,0,-0.232848603,-0.186433349
Adrenalin,Epinephrine,1,21787.27,7243.4,490,395,2.825993478,44.46381633,55.15764557,1,13254.02,5026,380,313,2.464027386,34.879,42.34511182,1,16833.39,1175,468,416,16.15549819,35.96878205,40.46487981,0,27653.32,1873,992,925,15.80272384,27.87633065,29.89548108,0,39446.75,2612.8,1484,1407,16.1630285,26.58136793,28.03606965,0,0.022800162,0.546457168
Advair Diskus,Fluticasone Propion/Salmeterol,1,2393807457,356738339.2,4398315,1030947,6.705781245,544.2555745,2321.950069,0,1449199813,226583917.6,2681911,769276,6.384607727,540.3608894,1883.848987,0,1160474903,184579142,2174106,527430,6.287771288,533.7710777,2200.244398,0,1007644269,148034748.1,1715666,427565,6.803863428,587.3196001,2356.704288,0,947425939.8,138249271.7,1629000,417761,6.848190571,581.5997175,2267.865933,0,0.006514996,0.005267435
Advair HFA,Fluticasone Propion/Salmeterol,1,260074489.9,7030447.1,461754,121649,36.95279523,563.2316989,2137.908983,0,276664860.4,7459082.8,481432,127304,37.0236988,574.6706915,2173.26133,0,313758155,8477972,545374,136797,36.94794374,575.3082381,2293.604063,0,346301512.3,8989771.66,571026,150113,38.42233647,606.454894,2306.938855,0,384716838.8,9884064.033,632024,172993,38.80537779,608.7060599,2223.88674,0,0.009969236,0.012304471
Advocate Pen Needle,"Pen Needle, Diabetic",1,99685.13,178610,1282,745,0.558116175,77.7575117,133.8055436,0,176740.05,297000,2021,1177,0.595084343,87.4517813,150.1614698,0,232112.86,360426,2242,999,0.643995883,103.5293756,232.3452052,0,431446.13,662704,3750,1952,0.651038971,115.0523013,221.0277305,0,192879.97,277144,1680,827,0.695955785,114.809506,233.2285006,0,0.068992512,0.056730543
