brnd_name,gnrc_name,tot_mftr,tot_spndng,tot_dsg_unts,tot_clms,tot_benes,avg_spnd_per_dsg_unt_wghtd,avg_spnd_per_clm,avg_spnd_per_bene,outlier_flag,year
abraxane,paclitaxel protein-bound,1,8803136.55,6318.0,1190.0,333.0,1393.342284,7397.59374,26435.8455,0.0,2019
abraxane,paclitaxel protein-bound,1,9792937.31,6620.0,1286.0,319.0,1479.295666,7615.036789,30698.86304,0.0,2020
abraxane,paclitaxel protein-bound,1,9534884.71,6081.0,1200.0,307.0,1567.979725,7945.737258,31058.25638,0.0,2021
abraxane,paclitaxel protein-bound,1,6230057.81,3744.0,810.0,220.0,1664.011167,7691.429395,28318.44459,0.0,2022
absorica,isotretinoin,1,317230.79,8970.0,180.0,78.0,35.32328921,1762.393278,4067.06141,0.0,2018
absorica,isotretinoin,1,256597.51,6840.0,150.0,47.0,37.43501933,1710.650067,5459.521489,0.0,2019
absorica,isotretinoin,1,235353.71,6180.0,126.0,52.0,37.94486914,1867.886587,4526.032885,0.0,2020
absorica,isotretinoin,1,163699.34,4090.0,88.0,35.0,39.69015466,1860.219773,4677.124,0.0,2021
absorica,isotretinoin,1,93008.56,2250.0,51.0,24.0,41.15128458,1823.697255,3875.356667,0.0,2022
absorica ld,"isotretinoin, micronized",1,25585.7,690.0,15.0,,37.42603165,1705.713333,,1.0,2020
absorica ld,"isotretinoin, micronized",1,81264.22,2130.0,31.0,11.0,38.27806774,2621.426452,7387.656364,1.0,2021
absorica ld,"isotretinoin, micronized",1,24902.87,630.0,15.0,,39.48683704,1660.191333,,1.0,2022
acamprosate calcium,acamprosate calcium,6,5272879.18,5536265.0,34628.0,10706.0,0.952239019,152.272126,492.5162694,0.0,2018
acamprosate calcium,acamprosate calcium,6,6133862.01,6113938.0,37124.0,11649.0,1.003493418,165.2263229,526.5569585,0.0,2019
acamprosate calcium,acamprosate calcium,6,6475928.88,6671390.0,40041.0,11880.0,0.970935044,161.7324462,545.1118586,0.0,2020
acamprosate calcium,acamprosate calcium,6,7045996.74,7253219.0,43349.0,13110.0,0.970959085,162.5411599,537.4520778,0.0,2021
acamprosate calcium,acamprosate calcium,6,7435039.55,7604129.0,45173.0,13739.0,0.97663987,164.5903427,541.1630796,0.0,2022
acanya,clindamycin phos/benzoyl perox,1,146741.77,13850.0,254.0,143.0,10.59507365,577.7235039,1026.166224,0.0,2018
acanya,clindamycin phos/benzoyl perox,1,60935.72,5750.0,107.0,56.0,10.59751652,569.4927103,1088.137857,0.0,2019
acanya,clindamycin phos/benzoyl perox,1,33711.89,3150.0,60.0,15.0,10.7021873,561.8648333,2247.459333,0.0,2020
acanya,clindamycin phos/benzoyl perox,1,15964.61,1450.0,29.0,,11.01007586,550.5037931,,1.0,2021
acanya,clindamycin phos/benzoyl perox,1,9928.83,900.0,18.0,,11.03203333,551.6016667,,1.0,2022
acarbose,acarbose,4,7782118.77,22122226.0,157399.0,42897.0,0.351395787,49.44198356,181.4140562,0.0,2018
acarbose,acarbose,4,8782064.06,25533931.0,173977.0,44062.0,0.3438657,50.47830495,199.311517,0.0,2019
acarbose,acarbose,4,10722866.7,28611239.99,185085.0,43961.0,0.374976889,57.93482292,243.9177157,0.0,2020
acarbose,acarbose,4,10728639.22,28967751.5,180238.0,44200.0,0.370811455,59.52484615,242.7293941,0.0,2021
acarbose,acarbose,4,10098039.82,28434387.0,174307.0,43168.0,0.356964783,57.93249738,233.9241989,0.0,2022
accolate,zafirlukast,1,335122.21,89645.0,951.0,166.0,3.738054399,352.389285,2018.808494,0.0,2018
accolate,zafirlukast,1,267173.42,70926.0,731.0,141.0,3.766543184,365.4903146,1894.84695,0.0,2019
accolate,zafirlukast,1,241732.21,64927.0,635.0,121.0,3.723138448,380.6806457,1997.78686,0.0,2020
accolate,zafirlukast,1,217404.57,57295.0,521.0,103.0,3.794640321,417.2832438,2110.723981,0.0,2021
accolate,zafirlukast,1,149766.1,40235.0,358.0,91.0,3.723864712,418.3410615,1645.781319,0.0,2022
accupril,quinapril hcl,1,2823256.85,609380.0,7383.0,1640.0,4.633250924,382.3996817,1721.498079,0.0,2018
accupril,quinapril hcl,1,2657878.87,575596.0,6757.0,1518.0,4.617106115,393.3519121,1750.908347,0.0,2019
accupril,quinapril hcl,1,2298518.54,500787.0,5639.0,1311.0,4.590090815,407.6110197,1753.255942,0.0,2020
accupril,quinapril hcl,1,1802400.49,386511.0,4302.0,1045.0,4.665906587,418.9680358,1724.785158,0.0,2021
accupril,quinapril hcl,1,320682.07,67553.0,819.0,500.0,4.755617946,391.553199,641.36414,0.0,2022
accuretic,quinapril/hydrochlorothiazide,1,354071.71,80439.0,932.0,229.0,4.402074636,379.9052682,1546.164673,0.0,2018
accuretic,quinapril/hydrochlorothiazide,1,311595.63,70847.0,776.0,211.0,4.397698703,401.5407603,1476.75654,0.0,2019
accuretic,quinapril/hydrochlorothiazide,1,256406.1,59908.0,643.0,169.0,4.282600166,398.7653188,1517.195858,0.0,2020
accuretic,quinapril/hydrochlorothiazide,1,162706.28,37158.0,389.0,119.0,4.375711255,418.268072,1367.279664,0.0,2021
accuretic,quinapril/hydrochlorothiazide,1,15221.02,3690.0,43.0,36.0,4.155856033,353.9772093,422.8061111,1.0,2022
accutane,isotretinoin,1,21588.69,6010.0,127.0,59.0,3.561441007,169.989685,365.91,0.0,2021
accutane,isotretinoin,1,52272.27,14470.0,309.0,121.0,3.612391402,169.1659223,432.0022314,0.0,2022
acebutolol hcl,acebutolol hcl,3,2081450.61,6052585.0,63359.0,21865.0,0.344482796,32.85169605,95.19554585,0.0,2018
acebutolol hcl,acebutolol hcl,3,4386157.9,9371270.0,91112.0,21226.0,0.46842526,48.14028778,206.6408132,0.0,2019
acebutolol hcl,acebutolol hcl,3,5556127.04,9727562.0,90017.0,20614.0,0.571921523,61.72308608,269.531728,0.0,2020
acebutolol hcl,acebutolol hcl,3,5108653.31,9595214.0,86113.0,20157.0,0.53371766,59.32499518,253.4431369,0.0,2021
acebutolol hcl,acebutolol hcl,3,5166792.77,9087748.0,80943.0,19222.0,0.569835546,63.83248422,268.7957949,0.0,2022
acetamin-caff-dihydrocodeine,acetaminophen/caff/dihydrocod,1,507947.64,203714.0,2277.0,1070.0,2.49343511,223.0775758,474.7174206,0.0,2018
acetamin-caff-dihydrocodeine,acetaminophen/caff/dihydrocod,1,581219.08,221226.0,2783.0,1205.0,2.627263884,208.8462379,482.3394855,0.0,2019
acetamin-caff-dihydrocodeine,acetaminophen/caff/dihydrocod,1,562256.15,203536.0,2547.0,957.0,2.762440797,220.7523165,587.519488,0.0,2020
acetamin-caff-dihydrocodeine,acetaminophen/caff/dihydrocod,1,554132.58,196648.0,2524.0,797.0,2.817890749,219.5453962,695.2729988,0.0,2021
acetamin-caff-dihydrocodeine,acetaminophen/caff/dihydrocod,1,327966.86,117696.0,1581.0,416.0,2.786559101,207.4426692,788.381875,0.0,2022
acetaminophen,acetaminophen,3,35876.64,138701.0,120.0,82.0,0.295148973,298.972,437.52,0.0,2021
acetaminophen,acetaminophen,3,59927.65,230800.0,138.0,75.0,0.252939109,434.2583333,799.0353333,0.0,2022
acetaminophen-codeine,acetaminophen with codeine,9,38181534.34,184505081.3,3347574.0,1535095.0,0.209664915,11.40573273,24.8724244,0.0,2018
acetaminophen-codeine,acetaminophen with codeine,9,35248234.01,162201021.0,3199855.0,1417793.0,0.216341942,11.01557227,24.86134013,0.0,2019
acetaminophen-codeine,acetaminophen with codeine,9,38098067.57,152159022.9,2973452.0,1260147.0,0.246720709,12.81274006,30.23303438,0.0,2020
acetaminophen-codeine,acetaminophen with codeine,9,40726751.97,138927281.9,2763688.0,1210143.0,0.285926023,14.73637834,33.65449535,0.0,2021
acetaminophen-codeine,acetaminophen with codeine,9,38694675.29,129405129.8,2604234.0,1146260.0,0.290789701,14.85837113,33.75732843,0.0,2022
acetazolamide,acetazolamide,13,25178838.74,14881544.09,233605.0,86441.0,1.679345687,107.7838177,291.2835199,0.0,2018
acetazolamide,acetazolamide,13,24060032.03,15097685.25,230972.0,88880.0,1.580654775,104.1686093,270.7024306,0.0,2019
acetazolamide,acetazolamide,13,22200009.38,14763958.0,200885.0,66492.0,1.500505401,110.5110356,333.8748929,0.0,2020
acetazolamide,acetazolamide,13,16599672.83,15103603.33,208405.0,76184.0,1.094691505,79.65102963,217.8892265,0.0,2021
acetazolamide,acetazolamide,13,15734887.6,15690541.24,215885.0,86171.0,1.0030914,72.88550664,182.6007311,0.0,2022
acetazolamide er,acetazolamide,7,9373543.55,4699925.232,82398.0,34240.0,1.994488557,113.7593576,273.7600336,0.0,2018
acetazolamide er,acetazolamide,7,8965308.25,5012496.0,83564.0,34378.0,1.791010532,107.2867293,260.7862078,0.0,2019
acetazolamide er,acetazolamide,7,8532895.66,5266670.286,78686.0,28814.0,1.619160312,108.4423615,296.1371438,0.0,2020
acetazolamide er,acetazolamide,7,7358500.8,5449502.0,81962.0,32774.0,1.357154745,89.77941973,224.5225118,0.0,2021
acetazolamide er,acetazolamide,7,7706860.68,5577598.0,79286.0,32336.0,1.384267554,97.20329793,238.3368592,0.0,2022
acetic acid*,acetic acid,7,1505691.5,48935842.17,71448.0,39139.0,0.921214062,21.07394889,38.47036204,0.0,2018
acetic acid*,acetic acid,7,1384295.19,49607287.47,67471.0,35588.0,0.828230812,20.51689155,38.89780797,0.0,2019
acetic acid*,acetic acid,7,1265933.7,39158450.0,59519.0,34058.0,0.965747589,21.26940473,37.16993658,0.0,2020
acetic acid*,acetic acid,7,1249347.72,33090613.29,58550.0,36607.0,1.07588427,21.33813356,34.12865627,0.0,2021
acetic acid*,acetic acid,7,1314179.9,40052522.99,63159.0,38728.0,1.002010116,20.80748429,33.93358552,0.0,2022
acetylcysteine*,acetylcysteine,7,2092216.58,1994987.0,24093.0,6766.0,1.031788644,86.83918898,309.225034,0.0,2018
acetylcysteine*,acetylcysteine,7,1981662.68,2369608.0,28050.0,7361.0,0.830062953,70.64751087,269.2110692,0.0,2019
acetylcysteine*,acetylcysteine,7,1746725.77,1956389.28,20886.0,5149.0,0.878021429,83.63141674,339.2359235,0.0,2020
acetylcysteine*,acetylcysteine,7,1595936.67,1611947.639,16659.0,4039.0,0.943172917,95.80026832,395.1316341,0.0,2021
acetylcysteine*,acetylcysteine,7,1823301.43,1650286.236,17333.0,4323.0,1.06250014,105.1924901,421.767622,0.0,2022
aciphex,rabeprazole sodium,2,22178234.16,1299928.0,18579.0,3781.0,17.06112505,1193.725936,5865.70594,0.0,2018
aciphex,rabeprazole sodium,2,19678260.33,1153216.0,15888.0,3324.0,17.0638114,1238.561199,5920.054251,0.0,2019
aciphex,rabeprazole sodium,2,18095334.51,1065105.0,13926.0,2940.0,16.98924943,1299.392109,6154.875684,0.0,2020
aciphex,rabeprazole sodium,2,16176125.3,906690.0,11451.0,2504.0,17.84085553,1412.63866,6460.113938,0.0,2021
aciphex,rabeprazole sodium,2,15875562.32,781493.0,9439.0,2140.0,20.26880433,1681.911465,7418.487065,0.0,2022
acitretin,acitretin,6,24971062.75,1497337.0,40682.0,8659.0,16.795092,613.8110897,2883.827549,0.0,2018
acitretin,acitretin,6,23606030.79,1600707.43,45280.0,9054.0,14.80099169,521.3346023,2607.248817,0.0,2019
acitretin,acitretin,6,23573809.61,1678163.519,43893.0,9153.0,14.09513163,537.0744677,2575.5282,0.0,2020
acitretin,acitretin,6,21444442.22,1678450.341,41816.0,9238.0,12.82872279,512.8286355,2321.329532,0.0,2021
acitretin,acitretin,6,20934136.88,1658303.0,40529.0,9068.0,12.70699212,516.5224131,2308.57266,0.0,2022
actemra actpen,tocilizumab,1,17195137.67,14862.3,4465.0,1177.0,1156.963436,3851.094663,14609.29284,0.0,2019
actemra actpen,tocilizumab,1,56276920.52,47067.5,14203.0,2740.0,1195.664111,3962.326306,20539.02209,0.0,2020
actemra actpen,tocilizumab,1,93002648.89,74932.9,24049.0,4442.0,1241.14573,3867.214807,20937.11141,0.0,2021
actemra actpen,tocilizumab,1,126483516.6,101561.3,32706.0,5485.0,1245.390879,3867.287857,23059.89364,0.0,2022
actemra*,tocilizumab,1,130523440.2,185715.59,36098.0,5786.0,1015.824693,3615.808083,22558.49295,0.0,2018
actemra*,tocilizumab,1,132676233.6,198566.9,35738.0,5446.0,1017.941604,3712.469462,24362.14352,0.0,2019
actemra*,tocilizumab,1,127856836.2,191010.1,32917.0,4668.0,1050.279983,3884.218981,27390.06773,0.0,2020
actemra*,tocilizumab,1,123904981.2,186777.1,32334.0,5123.0,1095.350644,3832.033809,24186.02014,0.0,2021
actemra*,tocilizumab,1,127758478.6,212640.35,33653.0,4885.0,1069.340573,3796.347386,26153.21977,0.0,2022
acthar,corticotropin,1,724638118.9,90830.0,11907.0,2475.0,7977.960134,60858.16066,292783.0784,0.0,2018
acthar,corticotropin,1,668892380.3,82995.0,10968.0,2102.0,8059.429848,60985.81147,318217.1172,0.0,2019
acthar,corticotropin,1,621884161.4,74430.0,9857.0,1668.0,8355.289016,63090.61189,372832.2311,0.0,2020
acthar,corticotropin,1,431097613.9,50945.0,6667.0,1158.0,8462.020098,64661.40901,372277.7322,0.0,2021
acthar,corticotropin,1,400387038.5,45155.0,5913.0,1007.0,8866.948035,67713.01176,397603.8119,0.0,2022
acthib,haemoph b poly conj-tet tox/pf,1,27574.35,815.9,786.0,704.0,33.79623728,35.08187023,39.1681108,1.0,2018
acthib,haemoph b poly conj-tet tox/pf,1,44034.23,1129.0,1132.0,949.0,39.00286094,38.89949647,46.40066386,1.0,2019
acthib,haemoph b poly conj-tet tox/pf,1,44405.72,1147.6,1151.0,953.0,38.69442314,38.58012163,46.59571878,1.0,2020
acthib,haemoph b poly conj-tet tox/pf,1,49583.46,1413.0,1418.0,1124.0,35.09091295,34.96717913,44.11339858,0.0,2021
acthib,haemoph b poly conj-tet tox/pf,1,60611.51,1734.5,1734.0,1378.0,34.9446584,34.95473472,43.98513062,0.0,2022
actimmune,"interferon gamma-1b,recomb.",1,18992801.81,2118.0,337.0,53.0,8967.328522,56358.46234,358354.7511,0.0,2018
actimmune,"interferon gamma-1b,recomb.",1,20879139.7,2226.5,381.0,47.0,9377.56106,54800.8916,444237.0149,0.0,2019
actimmune,"interferon gamma-1b,recomb.",1,23353184.89,2547.0,417.0,51.0,9168.898661,56002.84146,457905.5861,0.0,2020
actimmune,"interferon gamma-1b,recomb.",1,25309639.28,2444.0,423.0,50.0,10355.82622,59833.6626,506192.7856,0.0,2021
actimmune,"interferon gamma-1b,recomb.",1,27310873.39,2613.5,454.0,48.0,10449.92286,60156.10879,568976.529,0.0,2022
activella,estradiol/norethindrone acet,1,,,,255.0,,,,,2018
activella,estradiol/norethindrone acet,1,124105.3,12712.0,255.0,210.0,9.76284613,486.687451,590.9776191,0.0,2019
activella,estradiol/norethindrone acet,1,135010.77,13692.0,274.0,78.0,9.86055872,492.7400365,1730.907308,0.0,2020
activella,estradiol/norethindrone acet,1,135284.56,13916.0,300.0,57.0,9.721511929,450.9485333,2373.413333,0.0,2021
activella,estradiol/norethindrone acet,1,141956.4,14560.0,293.0,63.0,9.749752747,484.4928328,2253.276191,0.0,2022
actonel,risedronate sodium,1,3671232.33,36899.0,6597.0,1445.0,173.7016191,556.5002774,2540.645211,0.0,2018
actonel,risedronate sodium,1,2907325.96,27665.0,4581.0,1064.0,180.1974409,634.6487579,2732.449211,0.0,2019
actonel,risedronate sodium,1,2358868.74,20947.0,3568.0,809.0,177.2770247,661.1179204,2915.783362,0.0,2020
actonel,risedronate sodium,1,1788277.96,15477.0,2562.0,624.0,176.3035436,698.000765,2865.830064,0.0,2021
actonel,risedronate sodium,1,1460182.27,12468.0,2048.0,492.0,176.717329,712.979624,2967.850142,0.0,2022
actoplus met,pioglitazone hcl/metformin hcl,1,461467.05,47787.0,556.0,113.0,9.656059647,829.9767086,4083.779204,0.0,2018
actoplus met,pioglitazone hcl/metformin hcl,1,374075.5,38502.0,433.0,91.0,9.714504613,863.9157044,4110.71978,0.0,2019
actoplus met,pioglitazone hcl/metformin hcl,1,312105.56,32169.0,364.0,75.0,9.702088547,857.4328571,4161.407467,0.0,2020
actoplus met,pioglitazone hcl/metformin hcl,1,203503.89,20419.0,246.0,51.0,9.967034003,827.2515854,3990.272353,0.0,2021
actoplus met,pioglitazone hcl/metformin hcl,1,140808.93,13698.0,169.0,33.0,10.27867151,833.1889349,4266.937273,0.0,2022
actos,pioglitazone hcl,1,2784260.16,159372.0,2982.0,632.0,17.42415825,933.6888531,4405.474937,0.0,2018
actos,pioglitazone hcl,1,2293887.44,132352.0,2461.0,546.0,17.30214151,932.0956684,4201.259048,0.0,2019
actos,pioglitazone hcl,1,2092475.64,120551.0,2035.0,481.0,17.34903865,1028.243558,4350.261206,0.0,2020
actos,pioglitazone hcl,1,1749928.48,98359.0,1619.0,378.0,17.84428421,1080.869969,4629.440423,0.0,2021
actos,pioglitazone hcl,1,1353112.4,75582.0,1201.0,302.0,18.07263853,1126.654788,4480.504636,0.0,2022
acular,ketorolac tromethamine,1,89458.99,2401.0,383.0,216.0,37.25905456,233.5743864,414.1619907,0.0,2018
acular,ketorolac tromethamine,1,73030.12,1865.0,297.0,177.0,39.15824129,245.8926599,412.599548,0.0,2019
acular,ketorolac tromethamine,1,92184.89,2245.0,353.0,214.0,41.0623118,261.1469972,430.770514,0.0,2020
acular,ketorolac tromethamine,1,64615.68,1325.0,195.0,94.0,48.76655094,331.3624615,687.4008511,1.0,2021
acular,ketorolac tromethamine,1,48975.95,1090.0,145.0,79.0,44.93206422,337.7651724,619.9487342,0.0,2022
acular ls,ketorolac tromethamine,1,55760.95,1170.0,183.0,87.0,47.65893162,304.7046448,640.9304598,1.0,2018
acular ls,ketorolac tromethamine,1,42093.7,895.0,128.0,61.0,47.03206704,328.8570313,690.0606557,1.0,2019
acular ls,ketorolac tromethamine,1,36788.28,750.0,124.0,67.0,49.05104,296.6796774,549.078806,1.0,2020
acular ls,ketorolac tromethamine,1,22762.86,435.0,66.0,36.0,52.32841379,344.8918182,632.3016667,0.0,2021
acular ls,ketorolac tromethamine,1,19001.64,340.0,52.0,33.0,55.88717647,365.4161539,575.8072727,0.0,2022
acuvail,ketorolac tromethamine/pf,1,350759.69,34304.0,774.0,343.0,10.22503761,453.1778941,1022.623003,0.0,2018
acuvail,ketorolac tromethamine/pf,1,292214.13,27503.0,587.0,274.0,10.62480929,497.8094208,1066.474927,0.0,2019
acuvail,ketorolac tromethamine/pf,1,215551.35,20437.0,392.0,172.0,10.54711308,549.8758929,1253.205523,0.0,2020
acuvail,ketorolac tromethamine/pf,1,221208.02,19678.0,381.0,166.0,11.24138734,580.5984777,1332.578434,0.0,2021
acuvail,ketorolac tromethamine/pf,1,145368.53,12620.0,264.0,121.0,11.51890095,550.6383712,1201.39281,0.0,2022
acyclovir sodium,acyclovir sodium,2,77171.15,98255.5,340.0,111.0,0.809359573,226.9739706,695.2355856,0.0,2018
acyclovir sodium,acyclovir sodium,2,62813.01,89428.8,299.0,112.0,0.707331506,210.0769565,560.8304464,0.0,2019
acyclovir sodium,acyclovir sodium,2,53556.56,93773.76,252.0,126.0,0.589112411,212.5260318,425.0520635,0.0,2020
acyclovir sodium,acyclovir sodium,2,36090.15,1081641.44,195.0,85.0,0.354666975,185.0776923,424.59,0.0,2021
acyclovir sodium,acyclovir sodium,2,55628.09,70751.6,276.0,116.0,0.834085906,201.5510507,479.5525,0.0,2022
acyclovir*,acyclovir,34,47901753.84,121554261.5,1794381.0,674884.0,0.71224155,26.69541967,70.9777589,0.0,2018
acyclovir*,acyclovir,34,57692803.04,129872947.7,1851986.0,688547.0,1.384643728,31.151857,83.78920109,0.0,2019
acyclovir*,acyclovir,34,58462575.08,139164612.4,1874373.0,669360.0,1.593248708,31.19047014,87.34100496,0.0,2020
acyclovir*,acyclovir,34,54648777.95,140048268.2,1827331.0,660087.0,1.330390222,29.90633769,82.79026545,0.0,2021
acyclovir*,acyclovir,34,52003828.08,144760686.5,1862131.0,663424.0,1.024699851,27.92705136,78.38701657,0.0,2022
aczone,dapsone,1,,,,1099.0,,,,,2018
aczone,dapsone,1,,,,921.0,,,,,2019
aczone,dapsone,1,136577.25,12060.0,190.0,307.0,11.32481343,718.8276316,444.8770358,0.0,2020
aczone,dapsone,1,200149.65,17730.0,239.0,166.0,11.28832011,837.4462343,1205.720783,0.0,2021
aczone,dapsone,1,154570.86,13140.0,178.0,98.0,11.7685316,868.375618,1577.253674,0.0,2022
adacel tdap,"diph,pertuss(acell),tet vac/pf",1,10979499.3,136138.246,191707.0,190954.0,80.80547293,57.27229209,57.49813725,0.0,2018
adacel tdap,"diph,pertuss(acell),tet vac/pf",1,11033494.81,119121.61,182346.0,181747.0,92.67117642,60.50856509,60.70798863,0.0,2019
adacel tdap,"diph,pertuss(acell),tet vac/pf",1,10274095.02,125262.552,171777.0,171363.0,82.36395309,59.81065579,59.9551538,0.0,2020
